3,50,224.2,11,12,106,56.5,T
1,18,298.2,16,2,138,81.3,N
8,91,583.9,8,1,109,92.7,D
4,232,233.9,29,4,272,64.1,N
1,56,115.8,17,4,287,61.7,T
3,173,33.7,9,9,108,81.8,T
6,84,363.3,24,4,138,94.3,T
8,27,142.1,3,12,165,88.6,D
4,79,448.5,16,2,278,82.5,D
8,140,440.5,22,5,178,85.3,N
9,235,304.2,22,6,265,65.7,N
9,49,345.7,28,7,221,95.4,D
1,80,597.9,23,11,138,38.1,T
2,151,47.4,12,10,66,81.0,T
3,12,506.0,2,1,148,23.4,T
4,224,150.8,7,4,340,69.9,D
4,135,188.6,14,1,311,20.2,N
7,222,220.0,2,7,101,55.3,D
5,229,213.4,25,9,356,49.7,N
8,79,355.7,26,12,117,48.0,N
5,185,424.1,18,10,145,20.2,D
1,148,380.0,13,11,251,60.0,T
9,50,329.9,26,7,241,25.5,D
8,61,542.0,24,7,289,23.7,D
3,148,346.3,5,8,152,92.2,T
5,45,537.8,8,4,243,84.1,N
3,97,472.5,10,6,355,94.3,N
2,137,345.2,18,12,74,36.7,N
8,118,181.8,23,3,240,38.6,D
3,27,58.3,6,12,248,79.3,T
3,250,557.6,9,7,342,76.1,T
5,229,226.0,9,1,349,59.5,N
1,240,443.7,1,8,281,24.8,N
4,243,12.2,20,6,110,39.4,N
9,123,221.1,26,4,317,32.7,D
1,187,458.7,31,3,241,92.6,N
6,62,290.2,19,6,198,69.0,T
6,180,393.9,8,7,261,85.2,D
2,162,326.1,14,7,188,96.5,D
9,219,483.6,4,6,359,92.1,N
9,125,32.9,18,12,262,67.5,N
8,26,61.5,20,10,228,42.9,D
2,146,175.0,27,7,87,72.8,T
3,198,571.7,17,7,186,33.2,T
5,178,320.6,21,12,200,51.8,T
9,77,126.0,14,2,321,50.4,T
8,28,303.7,20,4,137,50.6,N
5,142,314.3,11,12,91,36.5,T
1,55,426.4,7,4,343,59.5,N
4,147,142.7,14,4,324,60.4,N
7,119,598.3,1,8,171,60.4,T
4,174,577.4,24,8,236,76.8,T
2,18,420.2,27,4,127,39.8,T
5,221,384.5,19,10,122,76.3,D
8,171,229.1,13,3,335,40.1,N
6,114,193.8,6,2,332,55.9,T
7,31,414.9,31,10,235,32.1,D
1,188,560.3,24,2,178,98.4,N
6,230,360.8,20,10,208,97.0,N
4,22,551.2,16,4,133,70.0,D
5,237,242.1,26,11,86,61.5,N
4,83,563.7,28,8,159,69.6,D
8,245,336.7,7,6,286,82.8,N
8,49,499.8,2,9,128,98.9,T
1,198,261.9,24,4,76,76.5,T
8,33,170.9,2,8,95,88.1,D
1,230,215.6,7,4,300,24.8,N
4,182,356.6,9,2,114,89.6,N
8,169,274.9,1,3,228,83.9,T
6,160,505.7,3,10,90,43.6,N
2,150,386.7,26,7,142,82.2,T
9,129,349.5,18,1,291,78.1,T
4,230,83.7,25,10,158,62.2,N
4,249,203.6,28,9,263,21.8,N
4,145,314.3,20,11,114,36.6,D
3,232,187.6,6,3,171,91.7,D
4,222,229.1,15,12,126,37.5,D
